_metric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/batch,config/drop,config/epoch,config/linear,config/lr
1.688228965,0.020992994,FALSE,,,2000,1aca8_00040,8e126e235801468ca5d37e4299abf1fd,2022-04-09_13-18-10,1649524690,70.01633048,3960,DESKTOP-IMPI4GQ,127.0.0.1,70.01633048,0,2000,1024,0.5,2000,100,0.001
1.691552997,0.019994259,FALSE,,,3000,1aca8_00058,dd9e8a96a3b747cd9a26a7d577f8eca1,2022-04-09_13-24-45,1649525085,73.8176446,6632,DESKTOP-IMPI4GQ,127.0.0.1,73.8176446,0,3000,1024,0.5,3000,40,0.002
1.693529487,0.019991398,FALSE,,,2000,1aca8_00062,984432c80fcc4882af601cedfc3f215e,2022-04-09_13-25-49,1649525149,57.51608229,14600,DESKTOP-IMPI4GQ,127.0.0.1,57.51608229,0,2000,1024,0.4,2000,60,0.002
1.693752646,0.019992113,FALSE,,,3000,1aca8_00020,7eafea4d5363409c95783e1a300a9599,2022-04-09_13-11-32,1649524292,93.0448513,9288,DESKTOP-IMPI4GQ,127.0.0.1,93.0448513,0,3000,1024,0.4,3000,60,0.001
1.6939013,0.016993761,FALSE,,,3000,1aca8_00162,c6b6ab3b22d54d61be9a261f50c110ae,2022-04-09_14-01-30,1649527290,92.72497773,4396,DESKTOP-IMPI4GQ,127.0.0.1,92.72497773,0,3000,1024,0.3,3000,60,0.01
1.694818616,0.019992113,FALSE,,,3000,1aca8_00188,4905af74b4d34d01afd80abf04571d06,2022-04-09_14-10-57,1649527857,108.1989679,8960,DESKTOP-IMPI4GQ,127.0.0.1,108.1989679,0,3000,1024,0.4,3000,100,0.01
1.694954991,0.015993834,FALSE,,,3000,1aca8_00118,35252f045bb341a48cfb4f884858d2a9,2022-04-09_13-45-57,1649526357,91.80827856,13624,DESKTOP-IMPI4GQ,127.0.0.1,91.80827856,0,3000,1024,0.5,3000,60,0.005
1.696246266,0.021992922,FALSE,,,3000,1aca8_00068,b174f08b78714f2ab87571441de7ee96,2022-04-09_13-27-55,1649525275,90.4538877,8596,DESKTOP-IMPI4GQ,127.0.0.1,90.4538877,0,3000,1024,0.4,3000,60,0.002
1.696662784,0.01599431,FALSE,,,3000,1aca8_00010,a8d2da94e7eb4d23af538a58d9525730,2022-04-09_13-08-00,1649524080,79.86329913,13688,DESKTOP-IMPI4GQ,127.0.0.1,79.86329913,0,3000,1024,0.5,3000,40,0.001
1.696742177,0.013995171,FALSE,,,3000,1aca8_00106,45aee438efd646c2afc6e4bbcce6752d,2022-04-09_13-41-49,1649526109,74.54786396,14988,DESKTOP-IMPI4GQ,127.0.0.1,74.54786396,0,3000,1024,0.5,3000,40,0.005
1.700259209,0.012997627,FALSE,,,2000,1aca8_00000,cff1510c286c4f1a9cb4fb3aa0240991,2022-04-09_13-05-13,1649523913,48.65528679,15352,DESKTOP-IMPI4GQ,127.0.0.1,48.65528679,0,2000,1024,0.3,2000,40,0.001
1.701143861,0.021991491,FALSE,,,2000,1aca8_00076,588034be71d6465c914f08658dd18564,2022-04-09_13-30-12,1649525412,64.80102015,15000,DESKTOP-IMPI4GQ,127.0.0.1,64.80102015,0,2000,1024,0.5,2000,80,0.002
1.701215863,0.021994591,FALSE,,,3000,1aca8_00107,fd41a7b9e8c146689d8222c515e74481,2022-04-09_13-41-48,1649526108,73.52319622,13424,DESKTOP-IMPI4GQ,127.0.0.1,73.52319622,0,3000,2048,0.5,3000,40,0.005
